competencia;referencia;selic;selicacumulada
2025-06-01;2025-04-01;0.27;1.0
2025-05-01;2025-03-01;1.14;2.14
2025-04-01;2025-02-01;1.06;3.20
2025-03-01;2025-01-01;0.96;4.16
2025-02-01;2024-12-01;0.99;5.15
2025-01-01;2024-11-01;1.01;6.16
2024-12-01;2024-10-01;0.93;7.09
2024-11-01;2024-09-01;0.79;7.88
2024-10-01;2024-08-01;0.93;8.81
2024-09-01;2024-07-01;0.84;9.65
2024-08-01;2024-06-01;0.87;10.52
2024-07-01;2024-05-01;0.91;11.43
2024-06-01;2024-04-01;0.79;12.22
2024-05-01;2024-03-01;0.83;13.05
2024-04-01;2024-02-01;0.89;13.94
2024-03-01;2024-01-01;0.83;14.77
2024-02-01;2023-12-01;0.80;15.57
2024-01-01;2023-11-01;0.97;16.54
2023-12-01;2023-10-01;0.89;17.43
2023-11-01;2023-09-01;0.92;18.35
2023-10-01;2023-08-01;1.00;19.35
2023-09-01;2023-07-01;0.97;20.32
2023-08-01;2023-06-01;1.14;21.46
2023-07-01;2023-05-01;1.07;22.53
2023-06-01;2023-04-01;1.07;23.60
2023-05-01;2023-03-01;1.12;24.72
2023-04-01;2023-02-01;0.92;25.64
2023-03-01;2023-01-01;1.17;26.81
2023-02-01;2022-12-01;0.92;27.73
2023-01-01;2022-11-01;1.12;28.85
2022-12-01;2022-10-01;1.12;29.97
2022-11-01;2022-09-01;1.02;30.99
2022-10-01;2022-08-01;1.02;32.01
2022-09-01;2022-07-01;1.07;33.08
2022-08-01;2022-06-01;1.17;34.25
2022-07-01;2022-05-01;1.03;35.28
2022-06-01;2022-04-01;1.02;36.30
2022-05-01;2022-03-01;1.03;37.33
2022-04-01;2022-02-01;0.83;38.16
2022-03-01;2022-01-01;0.93;39.09
2022-02-01;2021-12-01;0.76;39.85
2022-01-01;2021-11-01;0.73;40.58
2021-12-01;2021-10-01;0.77;41.35
2021-11-01;2021-09-01;0.59;41.94
2021-10-01;2021-08-01;0.49;42.43
2021-09-01;2021-07-01;0.44;42.87
2021-08-01;2021-06-01;0.43;43.30
2021-07-01;2021-05-01;0.36;43.66
2021-06-01;2021-04-01;0.31;43.97
2021-05-01;2021-03-01;0.27;44.24
2021-04-01;2021-02-01;0.21;44.45
2021-03-01;2021-01-01;0.20;44.65
2021-02-01;2020-12-01;0.13;44.78
2021-01-01;2020-11-01;0.15;44.93
2020-12-01;2020-10-01;0.16;45.09
2020-11-01;2020-09-01;0.15;45.24
2020-10-01;2020-08-01;0.16;45.40
2020-09-01;2020-07-01;0.16;45.56
2020-08-01;2020-06-01;0.16;45.72
2020-07-01;2020-05-01;0.19;45.91
2020-06-01;2020-04-01;0.21;46.12
2020-05-01;2020-03-01;0.24;46.36
2020-04-01;2020-02-01;0.28;46.64
2020-03-01;2020-01-01;0.34;46.98
2020-02-01;2019-12-01;0.29;47.27
2020-01-01;2019-11-01;0.38;47.65
2019-12-01;2019-10-01;0.37;48.02
2019-11-01;2019-09-01;0.38;48.40
2019-10-01;2019-08-01;0.48;48.88
2019-09-01;2019-07-01;0.46;49.34
2019-08-01;2019-06-01;0.50;49.84
2019-07-01;2019-05-01;0.57;50.41
2019-06-01;2019-04-01;0.47;50.88
2019-05-01;2019-03-01;0.54;51.42
2019-04-01;2019-02-01;0.52;51.94
2019-03-01;2019-01-01;0.47;52.41
2019-02-01;2018-12-01;0.49;52.90
2019-01-01;2018-11-01;0.54;53.44
2018-12-01;2018-10-01;0.49;53.93
2018-11-01;2018-09-01;0.49;54.42
